ticket_id,call_id,ticket_number,query_type,status,created_datetime,resolved_datetime,assigned_to
560437,CALL1118,Ticket #560437,Technical Support,Ticket generated,2025-05-24 10:55:25,,Technical Team
560438,CALL1118,Ticket #560438,Technical Support,Resolved,2025-05-24 10:55:25,2025-05-24 15:30:00,Technical Team
560439,CALL1120,Ticket #560439,General Inquiry,Resolved,2025-05-22 09:45:15,2025-05-22 14:20:00,Support Team
560440,CALL1120,Ticket #560440,General Inquiry,Resolved,2025-05-22 09:45:15,2025-05-22 15:35:00,Support Team
560441,CALL1120,Ticket #560441,General Inquiry,Resolved,2025-05-22 09:45:15,2025-05-22 16:50:00,Support Team
560442,CALL1121,Ticket #560442,General Inquiry,Ticket generated,2025-04-30 13:30:10,,Support Team
560443,CALL1123,Ticket #560443,General Inquiry,Resolved,2025-04-28 16:00:30,2025-04-28 20:15:00,Support Team
560444,CALL1123,Ticket #560444,General Inquiry,Resolved,2025-04-28 16:00:30,2025-04-28 21:30:00,Support Team
560445,CALL1123,Ticket #560445,General Inquiry,Resolved,2025-04-28 16:00:30,2025-04-29 08:45:00,Support Team
560446,CALL1123,Ticket #560446,General Inquiry,Resolved,2025-04-28 16:00:30,2025-04-29 09:20:00,Support Team
560447,CALL1123,Ticket #560447,General Inquiry,Resolved,2025-04-28 16:00:30,2025-04-29 10:35:00,Support Team
560448,CALL1124,Ticket #560448,General Inquiry,Ticket generated,2025-04-27 08:25:15,,Support Team
560449,CALL1124,Ticket #560449,General Inquiry,Resolved,2025-04-27 08:25:15,2025-04-27 13:40:00,Support Team
560450,CALL1126,Ticket #560450,General Inquiry,Resolved,2025-04-25 16:55:25,2025-04-25 21:10:00,Support Team
560451,CALL1126,Ticket #560451,General Inquiry,Resolved,2025-04-25 16:55:25,2025-04-25 22:25:00,Support Team
560452,CALL1126,Ticket #560452,General Inquiry,Resolved,2025-04-25 16:55:25,2025-04-26 08:40:00,Support Team
560453,CALL1126,Ticket #560453,General Inquiry,Resolved,2025-04-25 16:55:25,2025-04-26 09:55:00,Support Team
560454,CALL1127,Ticket #560454,General Inquiry,Ticket generated,2025-04-24 10:20:30,,Support Team
560455,CALL1127,Ticket #560455,General Inquiry,Resolved,2025-04-24 10:20:30,2025-04-24 15:35:00,Support Team
560456,CALL1127,Ticket #560456,General Inquiry,Ticket generated,2025-04-24 10:20:30,,Support Team
560457,CALL1128,Ticket #560457,General Inquiry,Ticket generated,2025-04-23 14:35:15,,Support Team
560458,CALL1129,Ticket #560458,General Inquiry,Resolved,2025-04-22 09:50:10,2025-04-22 14:25:00,Support Team
560459,CALL1129,Ticket #560459,General Inquiry,Resolved,2025-04-22 09:50:10,2025-04-22 15:40:00,Support Team
560460,CALL1130,Ticket #560460,General Inquiry,Ticket generated,2025-04-21 13:25:25,,Support Team
560461,CALL1130,Ticket #560461,General Inquiry,Resolved,2025-04-21 13:25:25,2025-04-21 18:10:00,Support Team
560462,CALL1130,Ticket #560462,General Inquiry,Ticket generated,2025-04-21 13:25:25,,Support Team
560463,CALL1130,Ticket #560463,General Inquiry,Resolved,2025-04-21 13:25:25,2025-04-21 19:45:00,Support Team
560464,CALL1130,Ticket #560464,General Inquiry,Ticket generated,2025-04-21 13:25:25,,Support Team
560465,CALL1132,Ticket #560465,Billing Inquiry,Resolved,2025-03-30 15:55:15,2025-03-30 20:20:00,Billing Team
560466,CALL1132,Ticket #560466,Billing Inquiry,Resolved,2025-03-30 15:55:15,2025-03-30 21:35:00,Billing Team
560467,CALL1132,Ticket #560467,Billing Inquiry,Resolved,2025-03-30 15:55:15,2025-03-31 08:50:00,Billing Team
560468,CALL1133,Ticket #560468,General Inquiry,Ticket generated,2025-03-29 08:20:10,,Support Team
560469,CALL1135,Ticket #560469,Technical Support,Resolved,2025-03-27 16:50:30,2025-03-27 21:15:00,Technical Team
560470,CALL1135,Ticket #560470,Technical Support,Resolved,2025-03-27 16:50:30,2025-03-27 22:30:00,Technical Team
560471,CALL1135,Ticket #560471,Technical Support,Resolved,2025-03-27 16:50:30,2025-03-28 08:45:00,Technical Team
560472,CALL1135,Ticket #560472,Technical Support,Resolved,2025-03-27 16:50:30,2025-03-28 09:20:00,Technical Team
560473,CALL1136,Ticket #560473,General Inquiry,Ticket generated,2025-03-26 10:25:15,,Support Team
560474,CALL1136,Ticket #560474,General Inquiry,Resolved,2025-03-26 10:25:15,2025-03-26 15:40:00,Support Team
560475,CALL1138,Ticket #560475,Product Feedback,Resolved,2025-03-24 09:55:25,2025-03-24 14:30:00,Support Team
560476,CALL1138,Ticket #560476,Product Feedback,Resolved,2025-03-24 09:55:25,2025-03-24 15:45:00,Support Team
560477,CALL1138,Ticket #560477,Product Feedback,Resolved,2025-03-24 09:55:25,2025-03-24 16:20:00,Support Team
560478,CALL1138,Ticket #560478,Product Feedback,Resolved,2025-03-24 09:55:25,2025-03-24 17:35:00,Support Team
560479,CALL1138,Ticket #560479,Product Feedback,Resolved,2025-03-24 09:55:25,2025-03-24 18:50:00,Support Team
560480,CALL1139,Ticket #560480,General Inquiry,Ticket generated,2025-03-23 13:20:30,,Support Team
560481,CALL1139,Ticket #560481,General Inquiry,Resolved,2025-03-23 13:20:30,2025-03-23 18:45:00,Support Team
560482,CALL1139,Ticket #560482,General Inquiry,Ticket generated,2025-03-23 13:20:30,,Support Team
560483,CALL1140,Ticket #560483,General Inquiry,Ticket generated,2025-03-22 11:45:15,,Support Team
560484,CALL1141,Ticket #560484,General Inquiry,Resolved,2025-02-28 15:30:10,2025-02-28 19:45:00,Support Team
560485,CALL1141,Ticket #560485,General Inquiry,Resolved,2025-02-28 15:30:10,2025-02-28 20:20:00,Support Team
560486,CALL1141,Ticket #560486,General Inquiry,Resolved,2025-02-28 15:30:10,2025-03-01 08:35:00,Support Team
560487,CALL1141,Ticket #560487,General Inquiry,Resolved,2025-02-28 15:30:10,2025-03-01 09:50:00,Support Team
560488,CALL1142,Ticket #560488,General Inquiry,Ticket generated,2025-02-27 08:55:25,,Support Team
560489,CALL1142,Ticket #560489,General Inquiry,Resolved,2025-02-27 08:55:25,2025-02-27 13:30:00,Support Team
560490,CALL1144,Ticket #560490,Technical Support,Resolved,2025-02-25 16:35:15,2025-02-25 20:50:00,Technical Team
560491,CALL1144,Ticket #560491,Technical Support,Resolved,2025-02-25 16:35:15,2025-02-25 21:25:00,Technical Team
560492,CALL1144,Ticket #560492,Technical Support,Resolved,2025-02-25 16:35:15,2025-02-26 08:40:00,Technical Team
560493,CALL1145,Ticket #560493,Billing Inquiry,Ticket generated,2025-02-24 10:50:10,,Billing Team
560494,CALL1147,Ticket #560494,General Inquiry,Resolved,2025-02-22 09:40:30,2025-02-22 14:25:00,Support Team
560495,CALL1147,Ticket #560495,General Inquiry,Resolved,2025-02-22 09:40:30,2025-02-22 15:40:00,Support Team
560496,CALL1147,Ticket #560496,General Inquiry,Resolved,2025-02-22 09:40:30,2025-02-22 16:55:00,Support Team
560497,CALL1147,Ticket #560497,General Inquiry,Resolved,2025-02-22 09:40:30,2025-02-22 17:30:00,Support Team
560498,CALL1147,Ticket #560498,General Inquiry,Resolved,2025-02-22 09:40:30,2025-02-22 18:45:00,Support Team
560499,CALL1148,Ticket #560499,Technical Support,Ticket generated,2025-02-21 13:55:15,,Technical Team
560500,CALL1148,Ticket #560500,Technical Support,Resolved,2025-02-21 13:55:15,2025-02-21 18:20:00,Technical Team
560501,CALL1150,Ticket #560501,General Inquiry,Resolved,2025-02-19 15:35:25,2025-02-19 19:50:00,Support Team
560502,CALL1150,Ticket #560502,General Inquiry,Resolved,2025-02-19 15:35:25,2025-02-19 20:35:00,Support Team
560503,CALL1150,Ticket #560503,General Inquiry,Resolved,2025-02-19 15:35:25,2025-02-20 08:40:00,Support Team
560504,CALL1150,Ticket #560504,General Inquiry,Resolved,2025-02-19 15:35:25,2025-02-20 09:25:00,Support Team
560505,CALL1151,Ticket #560505,Product Feedback,Ticket generated,2025-01-31 08:50:30,,Support Team
560506,CALL1151,Ticket #560506,Product Feedback,Resolved,2025-01-31 08:50:30,2025-01-31 13:15:00,Support Team
560507,CALL1151,Ticket #560507,Product Feedback,Ticket generated,2025-01-31 08:50:30,,Support Team
560508,CALL1152,Ticket #560508,General Inquiry,Ticket generated,2025-01-30 12:25:15,,Support Team
560509,CALL1153,Ticket #560509,General Inquiry,Resolved,2025-01-29 16:40:10,2025-01-29 20:25:00,Support Team
560510,CALL1153,Ticket #560510,General Inquiry,Resolved,2025-01-29 16:40:10,2025-01-29 21:40:00,Support Team
560511,CALL1154,Ticket #560511,General Inquiry,Ticket generated,2025-01-28 10:55:25,,Support Team
560512,CALL1154,Ticket #560512,General Inquiry,Resolved,2025-01-28 10:55:25,2025-01-28 15:30:00,Support Team
560513,CALL1154,Ticket #560513,General Inquiry,Ticket generated,2025-01-28 10:55:25,,Support Team
560514,CALL1154,Ticket #560514,General Inquiry,Resolved,2025-01-28 10:55:25,2025-01-28 16:45:00,Support Team
560515,CALL1154,Ticket #560515,General Inquiry,Ticket generated,2025-01-28 10:55:25,,Support Team
560516,CALL1156,Ticket #560516,General Inquiry,Resolved,2025-01-26 09:45:15,2025-01-26 14:20:00,Support Team
560517,CALL1156,Ticket #560517,General Inquiry,Resolved,2025-01-26 09:45:15,2025-01-26 15:35:00,Support Team
560518,CALL1156,Ticket #560518,General Inquiry,Resolved,2025-01-26 09:45:15,2025-01-26 16:50:00,Support Team
560519,CALL1157,Ticket #560519,Technical Support,Ticket generated,2025-01-25 13:30:10,,Technical Team
560520,CALL1159,Ticket #560520,General Inquiry,Resolved,2025-01-23 16:00:30,2025-01-23 20:15:00,Support Team
560521,CALL1159,Ticket #560521,General Inquiry,Resolved,2025-01-23 16:00:30,2025-01-23 21:30:00,Support Team
560522,CALL1159,Ticket #560522,General Inquiry,Resolved,2025-01-23 16:00:30,2025-01-24 08:45:00,Support Team
560523,CALL1159,Ticket #560523,General Inquiry,Resolved,2025-01-23 16:00:30,2025-01-24 09:20:00,Support Team
560524,CALL1160,Ticket #560524,General Inquiry,Ticket generated,2025-01-22 08:25:15,,Support Team
560525,CALL1160,Ticket #560525,General Inquiry,Resolved,2025-01-22 08:25:15,2025-01-22 13:40:00,Support Team
560526,CALL1162,Ticket #560526,General Inquiry,Resolved,2025-01-20 16:55:25,2025-01-20 21:10:00,Support Team
560527,CALL1162,Ticket #560527,General Inquiry,Resolved,2025-01-20 16:55:25,2025-01-20 22:25:00,Support Team
560528,CALL1162,Ticket #560528,General Inquiry,Resolved,2025-01-20 16:55:25,2025-01-21 08:40:00,Support Team
560529,CALL1162,Ticket #560529,General Inquiry,Resolved,2025-01-20 16:55:25,2025-01-21 09:55:00,Support Team
560530,CALL1162,Ticket #560530,General Inquiry,Resolved,2025-01-20 16:55:25,2025-01-21 10:30:00,Support Team
560531,CALL1163,Ticket #560531,General Inquiry,Ticket generated,2025-01-19 10:20:30,,Support Team
560532,CALL1163,Ticket #560532,General Inquiry,Resolved,2025-01-19 10:20:30,2025-01-19 15:35:00,Support Team
560533,CALL1163,Ticket #560533,General Inquiry,Ticket generated,2025-01-19 10:20:30,,Support Team
560534,CALL1164,Ticket #560534,Product Feedback,Ticket generated,2025-01-18 14:35:15,,Support Team
560535,CALL1165,Ticket #560535,General Inquiry,Resolved,2025-01-17 09:50:10,2025-01-17 14:25:00,Support Team
560536,CALL1165,Ticket #560536,General Inquiry,Resolved,2025-01-17 09:50:10,2025-01-17 15:40:00,Support Team
560537,CALL1165,Ticket #560537,General Inquiry,Resolved,2025-01-17 09:50:10,2025-01-17 16:55:00,Support Team
560538,CALL1165,Ticket #560538,General Inquiry,Resolved,2025-01-17 09:50:10,2025-01-17 17:30:00,Support Team
560539,CALL1166,Ticket #560539,General Inquiry,Ticket generated,2025-01-16 13:25:25,,Support Team
560540,CALL1166,Ticket #560540,General Inquiry,Resolved,2025-01-16 13:25:25,2025-01-16 18:10:00,Support Team
560541,CALL1168,Ticket #560541,General Inquiry,Resolved,2025-01-14 15:55:15,2025-01-14 20:20:00,Support Team
560542,CALL1168,Ticket #560542,General Inquiry,Resolved,2025-01-14 15:55:15,2025-01-14 21:35:00,Support Team
560543,CALL1168,Ticket #560543,General Inquiry,Resolved,2025-01-14 15:55:15,2025-01-15 08:50:00,Support Team
560544,CALL1169,Ticket #560544,General Inquiry,Ticket generated,2025-01-13 08:20:10,,Support Team
560545,CALL1171,Ticket #560545,Billing Inquiry,Resolved,2025-01-11 16:50:30,2025-01-11 21:15:00,Billing Team
560546,CALL1171,Ticket #560546,Billing Inquiry,Resolved,2025-01-11 16:50:30,2025-01-11 22:30:00,Billing Team
560547,CALL1171,Ticket #560547,Billing Inquiry,Resolved,2025-01-11 16:50:30,2025-01-12 08:45:00,Billing Team
560548,CALL1171,Ticket #560548,Billing Inquiry,Resolved,2025-01-11 16:50:30,2025-01-12 09:20:00,Billing Team
560549,CALL1171,Ticket #560549,Billing Inquiry,Resolved,2025-01-11 16:50:30,2025-01-12 10:35:00,Billing Team
560550,CALL1172,Ticket #560550,General Inquiry,Ticket generated,2025-01-10 10:25:15,,Support Team
560551,CALL1172,Ticket #560551,General Inquiry,Resolved,2025-01-10 10:25:15,2025-01-10 15:40:00,Support Team
560552,CALL1174,Ticket #560552,Technical Support,Resolved,2025-01-08 09:55:25,2025-01-08 14:30:00,Technical Team
560553,CALL1174,Ticket #560553,Technical Support,Resolved,2025-01-08 09:55:25,2025-01-08 15:45:00,Technical Team
560554,CALL1174,Ticket #560554,Technical Support,Resolved,2025-01-08 09:55:25,2025-01-08 16:20:00,Technical Team
560555,CALL1174,Ticket #560555,Technical Support,Resolved,2025-01-08 09:55:25,2025-01-08 17:35:00,Technical Team
560556,CALL1175,Ticket #560556,General Inquiry,Ticket generated,2025-01-07 13:20:30,,Support Team
560557,CALL1175,Ticket #560557,General Inquiry,Resolved,2025-01-07 13:20:30,2025-01-07 18:45:00,Support Team
560558,CALL1175,Ticket #560558,General Inquiry,Ticket generated,2025-01-07 13:20:30,,Support Team
560559,CALL1176,Ticket #560559,General Inquiry,Ticket generated,2025-01-06 11:45:15,,Support Team
560560,CALL1177,Ticket #560560,Product Feedback,Resolved,2025-01-05 15:30:10,2025-01-05 19:45:00,Support Team
560561,CALL1177,Ticket #560561,Product Feedback,Resolved,2025-01-05 15:30:10,2025-01-05 20:20:00,Support Team
560562,CALL1178,Ticket #560562,General Inquiry,Ticket generated,2025-01-04 08:55:25,,Support Team
560563,CALL1178,Ticket #560563,General Inquiry,Resolved,2025-01-04 08:55:25,2025-01-04 13:30:00,Support Team
560564,CALL1178,Ticket #560564,General Inquiry,Ticket generated,2025-01-04 08:55:25,,Support Team
560565,CALL1178,Ticket #560565,General Inquiry,Resolved,2025-01-04 08:55:25,2025-01-04 14:45:00,Support Team
560566,CALL1178,Ticket #560566,General Inquiry,Ticket generated,2025-01-04 08:55:25,,Support Team
560567,CALL1180,Ticket #560567,General Inquiry,Resolved,2025-01-02 16:35:15,2025-01-02 20:50:00,Support Team
560568,CALL1180,Ticket #560568,General Inquiry,Resolved,2025-01-02 16:35:15,2025-01-02 21:25:00,Support Team
560569,CALL1180,Ticket #560569,General Inquiry,Resolved,2025-01-02 16:35:15,2025-01-03 08:40:00,Support Team
560570,CALL1181,Ticket #560570,General Inquiry,Ticket generated,2025-01-01 10:50:10,,Support Team
